Area,Year,Quarter,Overall_hpi,Overall_YoY,Low_hpi,Low_YoY,Mid_hpi,Mid_YoY,High_hpi,High_YoY
Austin-Round Rock,2018,3,221.716997,0.03151592,250.0372683,0.038859363,218.4697756,0.037469904,201.5234929,0.027236712
Austin-Round Rock,2018,4,221.2626887,0.03619393,250.9927311,0.044896995,216.5362638,0.033313568,200.9162185,0.037807134
College Station-Bryan,2018,1,137.5339445,0.020754309,,,,,,
College Station-Bryan,2018,2,138.7763502,0.015597315,,,,,,
College Station-Bryan,2018,3,137.9702995,0.020638792,,,,,,
College Station-Bryan,2018,4,138.0845309,0.015782141,,,,,,
Dallas-Fort Worth-Arlington,2018,1,160.8327899,0.05902323,173.3064414,0.088737833,162.0164819,0.055543974,146.6852457,0.032076574
Dallas-Fort Worth-Arlington,2018,2,163.773819,0.050929009,177.9724617,0.081645927,165.4075616,0.047261637,148.9082002,0.022524586
Dallas-Fort Worth-Arlington,2018,3,163.7092236,0.040694737,178.3065671,0.069337142,165.0458698,0.03494561,148.3106725,0.021940156
Dallas-Fort Worth-Arlington,2018,4,163.3383289,0.035491592,178.6984292,0.061488815,163.5755973,0.026895638,147.256182,0.016738338
Dallas-Plano-Irving,2018,1,162.6787065,0.052151265,,,,,,
Dallas-Plano-Irving,2018,2,165.2289219,0.042953808,,,,,,
Dallas-Plano-Irving,2018,3,164.5789412,0.030198314,,,,,,
Dallas-Plano-Irving,2018,4,164.0113342,0.028216321,,,,,,
El Paso,2018,1,133.2963333,0.029051299,,,,,,
El Paso,2018,2,136.3321641,0.031579069,,,,,,
El Paso,2018,3,136.5231242,0.029513574,,,,,,
El Paso,2018,4,135.5532109,0.025871257,,,,,,
Fort Worth-Arlington,2018,1,157.5097698,0.071112196,,,,,,
Fort Worth-Arlington,2018,2,160.9697964,0.064453066,,,,,,
Fort Worth-Arlington,2018,3,161.7639061,0.05694611,,,,,,
Fort Worth-Arlington,2018,4,161.8479041,0.047775389,,,,,,
Houston-The Woodlands-Sugar Land,2018,1,165.2779707,0.021497615,183.2253595,0.040602787,162.4267398,0.023232769,151.4888134,-0.001452026
Houston-The Woodlands-Sugar Land,2018,2,168.857332,0.026952819,188.8614535,0.051624963,166.3825106,0.030120016,155.1862314,0.003971288
Houston-The Woodlands-Sugar Land,2018,3,169.7216874,0.033574183,189.9914415,0.054318314,166.9396792,0.032825777,155.6841369,0.01179866
Houston-The Woodlands-Sugar Land,2018,4,168.3767153,0.026545139,190.1141928,0.050515267,164.7443821,0.026973071,153.0489685,0.005518252
Killeen-Temple,2018,1,124.1765741,0.048163872,,,,,,
Killeen-Temple,2018,2,124.4396157,0.03818037,,,,,,
Killeen-Temple,2018,3,126.6138559,0.047089628,,,,,,
Killeen-Temple,2018,4,126.6105899,0.04469364,,,,,,
San Antonio-New Braunfels,2018,1,141.9418185,0.038641452,146.1355587,0.061875765,143.5943252,0.041587528,135.8965023,0.014590218
San Antonio-New Braunfels,2018,2,145.3667528,0.038326097,150.2234594,0.052555228,148.1883217,0.042060836,138.4638181,0.020012131
San Antonio-New Braunfels,2018,3,145.9289192,0.03951836,151.4565445,0.053824762,147.9881824,0.035248002,139.1436531,0.027100599
San Antonio-New Braunfels,2018,4,145.9620727,0.040367253,152.4394868,0.048836497,147.0623547,0.040562065,138.8527606,0.0339974
Sherman-Denison,2018,1,145.2350726,0.115495282,,,,,,
Sherman-Denison,2018,2,148.45382,0.091318657,,,,,,
Sherman-Denison,2018,3,151.7816515,0.075160503,,,,,,
Sherman-Denison,2018,4,148.7425135,0.049871937,,,,,,
Amarillo,2019,1,132.5860085,0.010656459,,,,,,
Amarillo,2019,2,136.1672657,0.029216976,,,,,,
Amarillo,2019,3,136.8614491,0.032150149,,,,,,
Amarillo,2019,4,136.078014,0.035169925,,,,,,
Austin-Round Rock,2019,1,225.1171408,0.038316722,254.4284426,0.039360895,218.5662769,0.034696655,204.9517495,0.035412061
Austin-Round Rock,2019,2,230.6910164,0.037560938,258.2665711,0.037795122,227.0831078,0.030521072,211.7285303,0.041510537
Austin-Round Rock,2019,3,231.8254812,0.045591832,259.9273381,0.039554382,227.1976353,0.039949963,212.2103093,0.053030126
Austin-Round Rock,2019,4,233.0666977,0.053348393,260.3768096,0.037387849,227.627572,0.051221481,213.9075152,0.064660269
College Station-Bryan,2019,1,140.1917087,0.019324423,,,,,,
College Station-Bryan,2019,2,141.6061879,0.020391354,,,,,,
College Station-Bryan,2019,3,140.9509504,0.021603569,,,,,,
College Station-Bryan,2019,4,141.7198554,0.026326804,,,,,,
Dallas-Fort Worth-Arlington,2019,1,165.2372989,0.02738564,181.7122241,0.048502425,165.5496029,0.02180717,147.9894426,0.008891125
Dallas-Fort Worth-Arlington,2019,2,168.0999526,0.026415294,186.6808296,0.048930985,168.5335331,0.0188986,150.8472577,0.013021831
Dallas-Fort Worth-Arlington,2019,3,168.5870751,0.029795825,187.0008887,0.048760523,169.0382458,0.024189493,150.6463555,0.015748583
Dallas-Fort Worth-Arlington,2019,4,167.9103792,0.027991288,186.6751069,0.044637648,168.1849457,0.028178703,149.8646427,0.017713759
Dallas-Plano-Irving,2019,1,165.7157472,0.01866895,,,,,,
Dallas-Plano-Irving,2019,2,168.3271873,0.01875135,,,,,,
Dallas-Plano-Irving,2019,3,168.5429601,0.02408582,,,,,,
Dallas-Plano-Irving,2019,4,167.411351,0.020730376,,,,,,
El Paso,2019,1,136.8522853,0.026677042,,,,,,
El Paso,2019,2,139.0884815,0.02021766,,,,,,
El Paso,2019,3,139.2776922,0.020176567,,,,,,
El Paso,2019,4,140.4224769,0.035921436,,,,,,
Fort Worth-Arlington,2019,1,163.9935966,0.0411646,,,,,,
Fort Worth-Arlington,2019,2,167.3455757,0.039608543,,,,,,
Fort Worth-Arlington,2019,3,168.3213682,0.040537238,,,,,,
Fort Worth-Arlington,2019,4,168.3547341,0.040203362,,,,,,
Houston-The Woodlands-Sugar Land,2019,1,169.6237378,0.026293686,192.838353,0.052465409,166.2379664,0.023464281,153.9614736,0.016322394
Houston-The Woodlands-Sugar Land,2019,2,172.7421996,0.023006804,197.1059975,0.043653926,169.0953617,0.016304905,157.141848,0.01260174
Houston-The Woodlands-Sugar Land,2019,3,173.2604422,0.020850339,198.3670715,0.044084248,170.2894768,0.020065916,156.5675993,0.00567471
Houston-The Woodlands-Sugar Land,2019,4,172.8594301,0.026623127,198.121503,0.042118423,169.1427899,0.026698378,155.8021982,0.017989207
Killeen-Temple,2019,1,127.2419409,0.024685547,,,,,,
Killeen-Temple,2019,2,130.6347647,0.049784379,,,,,,
Killeen-Temple,2019,3,131.7928068,0.040903508,,,,,,
Killeen-Temple,2019,4,132.8710922,0.049446909,,,,,,
San Antonio-New Braunfels,2019,1,148.092408,0.043331764,154.5684818,0.057706167,148.7940417,0.036211155,140.3032148,0.032426974
San Antonio-New Braunfels,2019,2,150.4996428,0.03530993,158.512027,0.055174921,152.3502601,0.028085468,141.3321202,0.020715174
San Antonio-New Braunfels,2019,3,151.3082244,0.036862502,159.666403,0.054206033,153.2001528,0.035218828,142.7453913,0.025885034
San Antonio-New Braunfels,2019,4,151.3449253,0.036878433,159.9761342,0.049440256,152.604648,0.037686689,142.13105,0.023609825
Sherman-Denison,2019,1,149.543587,0.029665798,,,,,,
Sherman-Denison,2019,2,154.7331252,0.042298037,,,,,,
Sherman-Denison,2019,3,156.9083148,0.033776568,,,,,,
Sherman-Denison,2019,4,158.3850573,0.064827087,,,,,,
Amarillo,2020,1,137.8927607,0.040024979,,,,,,
Amarillo,2020,2,139.9271099,0.027611953,,,,,,
Amarillo,2020,3,143.51157,0.048590168,,,,,,
Amarillo,2020,4,145.5215648,0.069398064,,,,,,
Austin-Round Rock,2020,1,239.4962677,0.063873976,266.6556694,0.048057625,235.6079444,0.077970251,218.7172329,0.067164508
Austin-Round Rock,2020,2,244.4254788,0.059536182,273.7355208,0.059895284,240.3463374,0.05840694,223.440682,0.055316832
Austin-Round Rock,2020,3,252.4178526,0.08882704,282.6096831,0.087264176,247.7858647,0.09061815,231.8219355,0.092415992
Austin-Round Rock,2020,4,263.7851798,0.13180125,294.5668643,0.131309907,259.2878992,0.139088278,242.2577143,0.132534843
College Station-Bryan,2020,1,143.1777938,0.021300012,,,,,,
College Station-Bryan,2020,2,144.0211424,0.017054018,,,,,,
College Station-Bryan,2020,3,145.6302973,0.033198405,,,,,,
College Station-Bryan,2020,4,146.3935915,0.032978696,,,,,,
Dallas-Fort Worth-Arlington,2020,1,170.4122697,0.031318417,190.6086451,0.048958847,169.9623707,0.02665526,151.6363879,0.02464328
Dallas-Fort Worth-Arlington,2020,2,173.7935059,0.033870047,195.2791885,0.046059142,173.2914829,0.028231472,154.6410431,0.025149846
Dallas-Fort Worth-Arlington,2020,3,176.7394619,0.048357128,199.1909503,0.065187185,176.6606989,0.045093067,158.2430556,0.050427373
Dallas-Fort Worth-Arlington,2020,4,181.6753521,0.081978094,204.7719756,0.096943127,181.796504,0.080932085,161.8397363,0.079906063
Dallas-Plano-Irving,2020,1,170.1915308,0.0270088,,,,,,
Dallas-Plano-Irving,2020,2,173.0883188,0.028284982,,,,,,
Dallas-Plano-Irving,2020,3,176.1720235,0.0452648,,,,,,
Dallas-Plano-Irving,2020,4,181.2846872,0.082869746,,,,,,
El Paso,2020,1,141.1018663,0.03105232,,,,,,
El Paso,2020,2,144.9587439,0.042205237,,,,,,
El Paso,2020,3,149.6437986,0.074427614,,,,,,
El Paso,2020,4,154.1246737,0.097578372,,,,,,
Fort Worth-Arlington,2020,1,170.5966144,0.040263876,,,,,,
Fort Worth-Arlington,2020,2,174.6552794,0.043680292,,,,,,
Fort Worth-Arlington,2020,3,177.5992488,0.055120039,,,,,,
Fort Worth-Arlington,2020,4,182.1346138,0.081850266,,,,,,
Houston-The Woodlands-Sugar Land,2020,1,174.9573742,0.031443926,201.5323148,0.045084194,170.7314983,0.027030719,156.7516716,0.018122702
Houston-The Woodlands-Sugar Land,2020,2,177.4149003,0.02705014,205.5804224,0.042994251,173.8672421,0.028220054,157.7371063,0.003788032
Houston-The Woodlands-Sugar Land,2020,3,179.9850203,0.038811964,208.885669,0.053025925,176.9655048,0.039203995,161.6474052,0.032444809
Houston-The Woodlands-Sugar Land,2020,4,183.8392251,0.063518634,213.8365225,0.07932011,181.2013574,0.071292234,164.2010973,0.053907449
Killeen-Temple,2020,1,135.0468169,0.061338863,,,,,,
Killeen-Temple,2020,2,138.5048426,0.060244895,,,,,,
Killeen-Temple,2020,3,141.7267339,0.075375335,,,,,,
Killeen-Temple,2020,4,146.2420464,0.100631024,,,,,,
San Antonio-New Braunfels,2020,1,153.1430187,0.034104454,163.4354429,0.057365906,153.8985983,0.034306189,143.0906253,0.019867046
San Antonio-New Braunfels,2020,2,156.2905227,0.038477698,166.6214382,0.051159596,158.0148504,0.037181363,145.8456112,0.031935352
San Antonio-New Braunfels,2020,3,159.12585,0.051666891,170.26864,0.066402428,162.0739389,0.057922828,148.6023944,0.041031118
San Antonio-New Braunfels,2020,4,163.3550041,0.079355675,174.2897968,0.089473737,164.5762846,0.078448702,153.1826974,0.077756742
Sherman-Denison,2020,1,163.2227349,0.091472648,,,,,,
Sherman-Denison,2020,2,164.770776,0.06487073,,,,,,
Sherman-Denison,2020,3,167.8623475,0.069811677,,,,,,
Sherman-Denison,2020,4,169.6992782,0.0714349,,,,,,
Amarillo,2021,1,148.7625442,0.078827803,,,,,,
Amarillo,2021,2,157.8122398,0.127817475,,,,,,
Amarillo,2021,3,162.6430041,0.13330935,,,,,,
Amarillo,2021,4,165.2904699,0.135848629,,,,,,
Austin-Round Rock,2021,1,298.2418991,0.245288296,330.0576176,0.237767111,296.2451304,0.257364776,273.9963045,0.252742185
Austin-Round Rock,2021,2,340.0994429,0.391423858,380.2687117,0.389182925,337.3609774,0.403645177,309.8347485,0.386653252
Austin-Round Rock,2021,3,349.3236885,0.383910388,397.162378,0.405338888,345.7552575,0.395379264,314.328528,0.355905028
Austin-Round Rock,2021,4,355.852623,0.34902432,403.9674187,0.371394639,348.6624738,0.344692424,323.1645393,0.333970066
College Station-Bryan,2021,1,150.281,0.049611088,,,,,,
College Station-Bryan,2021,2,158.9017072,0.103322085,,,,,,
College Station-Bryan,2021,3,166.9665766,0.146509893,,,,,,
College Station-Bryan,2021,4,169.2635301,0.156222265,,,,,,
Dallas-Fort Worth-Arlington,2021,1,190.2662047,0.116505314,213.6877985,0.121081356,191.0004599,0.123780864,170.1251163,0.121928045
Dallas-Fort Worth-Arlington,2021,2,204.7256786,0.177982327,228.9558512,0.172453925,205.9742538,0.188599983,185.3700143,0.198711613
Dallas-Fort Worth-Arlington,2021,3,215.4421232,0.218981436,240.6720631,0.208247978,217.6166995,0.231834249,193.8626723,0.225094343
Dallas-Fort Worth-Arlington,2021,4,223.2022873,0.228577705,249.0343803,0.216154601,224.4431755,0.234584662,200.1454821,0.236689374
Dallas-Plano-Irving,2021,1,190.1050814,0.117006706,,,,,,
Dallas-Plano-Irving,2021,2,205.6411734,0.188070776,,,,,,
Dallas-Plano-Irving,2021,3,216.5160217,0.229003433,,,,,,
Dallas-Plano-Irving,2021,4,224.2436008,0.236969345,,,,,,
El Paso,2021,1,157.6387594,0.117198258,,,,,,
El Paso,2021,2,163.8744553,0.130490309,,,,,,
El Paso,2021,3,171.0232477,0.142868928,,,,,,
El Paso,2021,4,175.7855711,0.1405414,,,,,,
Fort Worth-Arlington,2021,1,190.3370717,0.115714238,,,,,,
Fort Worth-Arlington,2021,2,203.3793681,0.164461611,,,,,,
Fort Worth-Arlington,2021,3,213.699168,0.20326617,,,,,,
Fort Worth-Arlington,2021,4,221.2773507,0.214911026,,,,,,
Houston-The Woodlands-Sugar Land,2021,1,189.1879298,0.081337272,220.6489998,0.094856673,186.8417857,0.09436037,169.0373719,0.078376837
Houston-The Woodlands-Sugar Land,2021,2,199.0867232,0.122153341,234.0659208,0.138561337,198.1695854,0.139775284,178.5313139,0.131828255
Houston-The Woodlands-Sugar Land,2021,3,208.0981909,0.156197279,243.457536,0.165506169,207.5859091,0.173030356,184.8803391,0.143725993
Houston-The Woodlands-Sugar Land,2021,4,212.8181885,0.157632101,252.3417962,0.180068742,212.9126262,0.17500569,186.7044671,0.137047621
Killeen-Temple,2021,1,152.5406072,0.129538709,,,,,,
Killeen-Temple,2021,2,162.9601791,0.176566653,,,,,,
Killeen-Temple,2021,3,174.0191351,0.227849752,,,,,,
Killeen-Temple,2021,4,180.0224322,0.230989559,,,,,,
San Antonio-New Braunfels,2021,1,168.8622752,0.10264429,179.6476948,0.099196671,170.5818084,0.108403912,157.9964144,0.10417027
San Antonio-New Braunfels,2021,2,180.2243324,0.153136666,190.6707666,0.144335138,183.3425318,0.160286715,169.4092296,0.161565495
San Antonio-New Braunfels,2021,3,188.5967268,0.185204834,199.9797662,0.174495586,191.5834122,0.182074141,177.5357849,0.194703393
San Antonio-New Braunfels,2021,4,193.3742531,0.183766938,204.510711,0.173394626,196.5410226,0.194224447,181.7898508,0.186751858
Sherman-Denison,2021,1,178.2494009,0.092062334,,,,,,
Sherman-Denison,2021,2,189.5640336,0.150471207,,,,,,
Sherman-Denison,2021,3,200.9990609,0.197404087,,,,,,
Sherman-Denison,2021,4,210.6452957,0.241285749,,,,,,
Amarillo,2022,1,170.5152194,0.14622414,,,,,,
Amarillo,2022,2,176.8567503,0.120678285,,,,,,
Amarillo,2022,3,177.0486148,0.088571966,,,,,,
Amarillo,2022,4,177.2495982,0.072352194,,,,,,
Austin-Round Rock,2022,1,382.5911848,0.282821716,435.0026042,0.317959595,374.1715448,0.263047072,346.4030375,0.264261713
Austin-Round Rock,2022,2,404.483416,0.189309257,466.0453186,0.225568405,398.7872323,0.182078719,359.1755847,0.159248878
Austin-Round Rock,2022,3,374.9281286,0.073297176,427.3063316,0.07589831,367.4151548,0.062645171,339.3795881,0.079697061
Austin-Round Rock,2022,4,352.539708,-0.009309795,397.2977711,-0.01651036,343.5798399,-0.014577519,323.0676641,-0.00029977
College Station-Bryan,2022,1,177.3802348,0.180323758,,,,,,
College Station-Bryan,2022,2,187.8274624,0.182035522,,,,,,
College Station-Bryan,2022,3,186.3225177,0.11592704,,,,,,
College Station-Bryan,2022,4,187.5955391,0.108304541,,,,,,
Dallas-Fort Worth-Arlington,2022,1,238.6008274,0.254036825,263.953406,0.235229189,239.6571449,0.254746428,215.8864293,0.268986226
Dallas-Fort Worth-Arlington,2022,2,254.1003706,0.241174885,281.2763195,0.228517716,256.9618651,0.247543614,229.9564112,0.240526479
Dallas-Fort Worth-Arlington,2022,3,245.9646537,0.141673921,273.6284756,0.136934931,248.3780767,0.141355774,222.0991339,0.145651874
Dallas-Fort Worth-Arlington,2022,4,238.7496341,0.069655857,266.9640478,0.071996755,239.3429138,0.066385348,214.9022538,0.073730226
Dallas-Plano-Irving,2022,1,240.6651879,0.265958732,,,,,,
Dallas-Plano-Irving,2022,2,256.1267991,0.24550349,,,,,,
Dallas-Plano-Irving,2022,3,247.4920024,0.143065535,,,,,,
Dallas-Plano-Irving,2022,4,239.7704794,0.069241122,,,,,,
El Paso,2022,1,181.8044341,0.153297798,,,,,,
El Paso,2022,2,192.2067891,0.172890483,,,,,,
El Paso,2022,3,193.7698262,0.133002844,,,,,,
El Paso,2022,4,194.5914085,0.106981689,,,,,,
Fort Worth-Arlington,2022,1,234.624644,0.232679697,,,,,,
Fort Worth-Arlington,2022,2,250.1947713,0.230187573,,,,,,
Fort Worth-Arlington,2022,3,243.2942585,0.138489498,,,,,,
Fort Worth-Arlington,2022,4,236.8425862,0.070342651,,,,,,
Houston-The Woodlands-Sugar Land,2022,1,221.7503537,0.172116815,261.2553302,0.184031336,223.0985131,0.194050422,194.4385968,0.150269876
Houston-The Woodlands-Sugar Land,2022,2,232.1845103,0.166248088,273.3202887,0.167706464,235.6721907,0.18924501,205.6205466,0.151733789
Houston-The Woodlands-Sugar Land,2022,3,232.8810338,0.119092063,272.778384,0.120435162,234.0803261,0.127631095,205.7997522,0.113151096
Houston-The Woodlands-Sugar Land,2022,4,229.2202348,0.077070697,267.0424227,0.058256803,229.5100922,0.077954353,202.4400932,0.08428093
Killeen-Temple,2022,1,187.5758293,0.229678003,,,,,,
Killeen-Temple,2022,2,199.0632685,0.221545469,,,,,,
Killeen-Temple,2022,3,199.0729154,0.14397141,,,,,,
Killeen-Temple,2022,4,196.82487,0.093335244,,,,,,
San Antonio-New Braunfels,2022,1,203.0493255,0.202455226,213.2384356,0.186981195,207.2587945,0.215011122,190.7819685,0.207508215
San Antonio-New Braunfels,2022,2,212.906609,0.181342198,223.370018,0.171495882,219.1871532,0.195506307,200.1102132,0.181223795
San Antonio-New Braunfels,2022,3,210.9871148,0.118720978,221.9054678,0.1096396,215.4790156,0.124726891,198.2486155,0.116668482
San Antonio-New Braunfels,2022,4,207.9910306,0.075588023,222.2783796,0.086878914,210.2777546,0.069892441,194.1257182,0.067857844
Sherman-Denison,2022,1,225.5362556,0.265284789,,,,,,
Sherman-Denison,2022,2,235.4311986,0.241961326,,,,,,
Sherman-Denison,2022,3,231.247857,0.150492225,,,,,,
Sherman-Denison,2022,4,230.530653,0.094402095,,,,,,
Amarillo,2023,1,179.6611656,0.053637125,,,,,,
Amarillo,2023,2,178.526969,0.009443907,,,,,,
Amarillo,2023,3,179.0169384,0.011117418,,,,,,
Austin-Round Rock,2023,1,350.3503544,-0.084269663,395.6208667,-0.090532187,343.7263018,-0.081367072,317.2191533,-0.084248349
Austin-Round Rock,2023,2,356.4976631,-0.11863466,401.6761279,-0.138117878,346.1886491,-0.131896357,327.6721268,-0.087710466
Austin-Round Rock,2023,3,351.7130247,-0.061918811,400.1134943,-0.063637805,339.6925292,-0.075453135,322.0655173,-0.05101683
College Station-Bryan,2023,1,187.0463491,0.05449375,,,,,,
College Station-Bryan,2023,2,193.398029,0.029657891,,,,,,
College Station-Bryan,2023,3,195.5454818,0.049499997,,,,,,
Dallas-Fort Worth-Arlington,2023,1,239.9522661,0.005664014,267.7652945,0.01444152,239.3682106,-0.001205614,216.1135046,0.001051827
Dallas-Fort Worth-Arlington,2023,2,248.470292,-0.022156908,278.0439333,-0.011491853,246.1889872,-0.041924033,225.1485544,-0.020907687
Dallas-Fort Worth-Arlington,2023,3,248.6565498,0.010944239,277.9436669,0.015770256,247.5910009,-0.003168861,225.024394,0.013170966
Dallas-Plano-Irving,2023,1,241.791222,0.00467884,,,,,,
Dallas-Plano-Irving,2023,2,250.4985784,-0.021974353,,,,,,
Dallas-Plano-Irving,2023,3,251.4614312,0.016038614,,,,,,
El Paso,2023,1,196.5864271,0.081307109,,,,,,
El Paso,2023,2,202.5093759,0.053601576,,,,,,
El Paso,2023,3,203.2703026,0.049029699,,,,,,
Fort Worth-Arlington,2023,1,236.5508551,0.008209756,,,,,,
Fort Worth-Arlington,2023,2,244.7587693,-0.02172708,,,,,,
Fort Worth-Arlington,2023,3,243.8667616,0.00235313,,,,,,
Houston-The Woodlands-Sugar Land,2023,1,230.2347266,0.038260921,268.2467603,0.026760908,229.2833055,0.027722248,202.8289906,0.043151894
Houston-The Woodlands-Sugar Land,2023,2,236.264436,0.017571911,277.6061256,0.015680639,236.2142314,0.002299977,209.2042436,0.017428691
Houston-The Woodlands-Sugar Land,2023,3,238.6220116,0.024651976,278.7570879,0.021917806,237.2973019,0.013743042,211.8867099,0.029577089
Killeen-Temple,2023,1,194.5796153,0.037338424,,,,,,
Killeen-Temple,2023,2,198.2031705,-0.004320726,,,,,,
Killeen-Temple,2023,3,199.6874504,0.003086984,,,,,,
San Antonio-New Braunfels,2023,1,206.3173848,0.016094903,219.1656065,0.027795977,206.016605,-0.005993422,194.9801631,0.022005196
San Antonio-New Braunfels,2023,2,212.16507,-0.00348293,228.098205,0.021167509,212.2402797,-0.031693798,198.7573104,-0.006760788
San Antonio-New Braunfels,2023,3,210.8348906,-0.000721485,225.027037,0.014067112,211.7693444,-0.017215928,198.3140287,0.000329955
Sherman-Denison,2023,1,233.5642638,0.0355952,,,,,,
Sherman-Denison,2023,2,235.7978168,0.00155722,,,,,,
Sherman-Denison,2023,3,241.9541641,0.046297973,,,,,,
